"","Zipcode","Population2017","Male2017","Female2017","Bachelor_total17","Hispanic17","PerCapital_income17","MedHomeValue17","Med_House_income17","Belov_Poverty_percent17","White17","Black17","Asian17"
"1",73430,1313,714,599,231,1313,"24765","114700","64063","6.8",1136,0,0
"2",73931,473,255,218,84,429,"29506","111500","55536","9.9",441,0,0
"3",73949,1434,741,693,303,944,"25545","81500","47059","12.5",1071,0,0
"4",75001,14617,7421,7196,7132,11204,"50313","303500","73578","8.6",8078,1685,1817
"5",75002,69688,34658,35030,21730,59791,"39818","229800","98652","6.9",51846,6914,6572
"6",75006,50788,24748,26040,10005,24759,"27810","167000","57415","14.8",38154,4132,3729
"7",75007,53744,26431,27313,16163,39389,"36289","200600","82079","7.8",37527,4881,8360
"8",75009,10557,4910,5647,2467,8389,"36058","270200","90717","10.0",9504,326,69
"9",75010,27822,13814,14008,10073,23909,"41328","247800","81856","6.8",16029,3422,6976
"10",75013,38975,19575,19400,17420,36560,"51388","375700","124915","2.5",25533,2263,9655
"11",75019,41947,20769,21178,20057,36866,"54352","344200","118471","4.1",28810,1763,9688
"12",75020,21891,10780,11111,3506,20054,"26692","97000","46582","14.5",18728,1648,269
"13",75021,8704,4165,4539,923,7725,"24678","99100","49910","15.3",7716,363,56
"14",75022,24625,12049,12576,10933,22559,"59110","378400","156902","3.2",19930,682,3046
"15",75023,49563,24177,25386,18185,42678,"37519","212000","83764","5.3",36208,4321,6743
"16",75024,42405,20970,21435,22121,39485,"50699","356600","91795","4.6",23148,2676,14744
"17",75025,53559,26499,27060,26059,49739,"50504","308400","112999","4.6",31484,4029,15556
"18",75028,47056,22950,24106,18769,42562,"46033","271500","115490","2.5",38575,2238,3897
"19",75032,31399,15871,15528,9957,25659,"45135","272600","101851","6.1",27563,1822,993
"20",75034,95996,47042,48954,37972,81784,"50792","358600","116962","4.5",69522,6742,12887
"21",75035,65264,32326,32938,26066,58208,"45176","290800","122843","3.2",42085,5599,13751
"22",75038,29762,14944,14818,9044,22990,"29512","206900","51444","15.3",10191,8458,8206
"23",75039,18010,9028,8982,10462,15921,"57205","439800","89845","4.9",7331,2831,7031
"24",75040,62277,30419,31858,7676,33260,"22020","123700","59305","12.7",37613,7465,6777
"25",75041,33304,16958,16346,2451,13024,"17520","106100","42556","24.3",22616,2890,711
"26",75042,39559,19998,19561,3196,17806,"16676","116300","42153","24.4",22746,3806,5188
"27",75043,59951,28836,31115,10627,42012,"25448","142100","58571","11.6",34680,13021,5013
"28",75044,40942,19416,21526,11746,32532,"32381","166500","64085","10.8",23480,5137,8177
"29",75048,24203,11673,12530,5302,20178,"33186","197900","97666","2.7",16226,3150,3280
"30",75050,42670,21461,21209,5588,19735,"22266","107100","50889","18.6",30638,7254,1086
"31",75051,40962,19545,21417,2452,15354,"16678","94300","40841","20.6",30276,6842,764
"32",75052,94133,46365,47768,17761,59680,"27888","149900","74859","8.1",49259,26352,9859
"33",75054,10764,5257,5507,3720,8140,"38973","278700","116784","4.7",5336,3267,1327
"34",75056,57115,29307,27808,17130,46380,"43487","217100","83141","6.3",40115,5613,7239
"35",75057,14562,7574,6988,2337,7931,"23050","117100","51861","16.0",10997,1586,434
"36",75058,2697,1312,1385,644,2200,"33632","216300","75192","7.1",2555,18,0
"37",75060,47922,23510,24412,4366,18412,"19540","115900","52749","15.9",32252,2655,2583
"38",75061,54907,27824,27083,5244,19083,"19053","127500","44079","19.3",35713,5140,2070
"39",75062,48553,24751,23802,8077,26328,"23508","134400","50133","15.2",28587,7086,4170
"40",75063,38383,18103,20280,20147,34378,"45776","322000","85165","7.3",12746,5343,18215
"41",75065,12457,6173,6284,2782,10170,"33370","172700","77273","7.9",11125,301,393
"42",75067,66896,32441,34455,15809,45198,"28598","170900","60029","10.7",43136,9133,6890
"43",75068,55848,27300,28548,15436,43493,"34319","209900","94356","7.0",38120,8452,2582
"44",75069,36879,17962,18917,7794,23933,"31653","238700","52504","14.0",30075,3989,701
"45",75070,93299,44939,48360,33533,83378,"41844","269600","98754","4.3",72414,9020,7820
"46",75071,49846,25201,24645,14564,41187,"36911","252400","94473","5.6",38391,6811,2222
"47",75074,48977,24570,24407,11454,30378,"28418","173000","65558","13.6",35281,5621,4488
"48",75075,35933,17231,18702,12912,30480,"37874","223400","75123","8.7",27628,2691,3504
"49",75076,7244,3681,3563,1473,6949,"34392","135600","55267","12.7",6893,0,29
"50",75077,36181,18061,18120,12566,32259,"45760","253500","103326","4.1",30251,2469,1686
"51",75078,20611,10529,10082,7171,18310,"49613","409500","136642","3.3",17776,1565,681
"52",75080,50247,24775,25472,18504,38348,"34949","225800","69440","15.3",38639,3736,4969
"53",75081,37960,18507,19453,12480,32856,"32881","185400","66513","8.1",21455,6174,7429
"54",75082,23733,11712,12021,11618,22120,"53085","289500","120237","2.6",15048,1847,5433
"55",75087,33110,15709,17401,10332,29204,"39009","241400","96471","4.9",29367,1222,866
"56",75088,25842,12447,13395,6149,20784,"35495","179700","86140","7.2",19383,4067,1131
"57",75089,33117,16647,16470,7417,25770,"34996","182500","97534","6.2",22415,5794,2757
"58",75090,23936,11789,12147,1774,16476,"17481","82900","38086","25.2",18605,2854,160
"59",75092,24312,11864,12448,4965,22447,"29923","143400","56958","9.8",20616,1363,791
"60",75093,48021,23210,24811,24113,44871,"63345","408600","102889","6.2",34397,3265,8005
"61",75094,23097,11770,11327,8317,21679,"40336","318700","127095","4.5",12110,2930,7071
"62",75098,54534,27069,27465,12345,43417,"30995","178600","88453","6.8",41490,6305,2812
"63",75101,710,350,360,30,355,"16251","69400","45568","15.5",504,97,0
"64",75102,1251,590,661,109,751,"20545","85000","43611","12.5",1068,85,0
"65",75103,13967,6914,7053,2111,13229,"26895","120700","50722","11.0",12759,385,222
"66",75104,48568,22742,25826,9964,37856,"27937","147000","69699","10.8",17739,26548,1377
"67",75109,4096,2106,1990,768,3857,"31417","125800","67038","10.8",3537,215,12
"68",75110,28847,14016,14831,2992,19531,"21316","90300","42843","19.6",20314,4937,266
"69",75114,5930,2757,3173,559,4893,"25272","118100","64519","5.7",5295,466,9
"70",75115,52377,24382,27995,11104,43920,"29674","155300","65194","11.9",13685,36277,244
"71",75116,19996,9795,10201,2482,10821,"19978","119800","44222","19.2",13697,5264,139
