stateInterest_state,stateInterest_thirtyYearFixed,stateInterest_thirtyYearFixedCount,stateInterest_fifteenYearFixed,stateInterest_fifteenYearFixedCount,stateInterest_fiveOneARM,stateInterest_fiveOneARMCount,isShortSale,source,yearBuilt,nextOpenHouseEndTime,sqft,lastSaleDate,id,state,county,longitude,zip,image_image,image_url,image_width,image_height,virtual_tours_0,tax,mls_id,ROI_traditional_ROI,ROI_traditional_rental,ROI_airbnb_rental,ROI_airbnb_cap_rate,ROI_airbnb_ROI,ROI_traditional_cap_rate,daysOnMarket,meta_metaKey,meta_value,neighborhood_country,neighborhood_image,neighborhood_city,neighborhood_singleHomeValue,neighborhood_mashMeter,neighborhood_latitude,neighborhood_description,neighborhood_singleHomeValue_formatted,neighborhood_is_village,neighborhood_mashMeter_formatted,neighborhood_name,neighborhood_id,neighborhood_state,neighborhood_longitude,neighborhood_walkscore,neighborhood_airbnb_properties_count,neighborhood_traditional_properties_count,homeType,property_type,property_sub_type,beds,num_of_units,favorite,status,city,saleType,latitude,description,nextOpenHouseDate,recentReductionDate,title,rent_appreciation_rate,originalListPrice,parkingSpots,parkingType,address,nextOpenHouseStartTime,lotSize,broker_name,broker_number,broker_url,url,baths,address_revealing,location,interested,listPrice,price_per_sqft,lastSalePrice,is_foreclosure,foreclosure_status,occupancy_status,owner_occupied,listing_date,heating_system,cooling_system,mls_name,walkscore,investment_likelihood_label,investment_likelihood_score,hoa_dues,view_type,parcel_number,architecture_style,has_pool,is_water_front,needs_repair,tenant_occupied,is_market_place,schools_0_category,schools_0_name,schools_0_district,schools_1_category,schools_1_name,schools_1_district,schools_2_category,schools_2_name,schools_2_district,schools_3_category,schools_3_name,schools_3_district,modification_timestamp,created_at,updated_ar,updated_at,owner_first_name,owner_last_name,agents_0_id,agents_0_office_id
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Lake Travis,2007,,5427,,1008330,TX,Travis,-97.93991852,78645,http://photos.listhub.net/KW/9447297/1?lm=20180312T123117,http://photos.listhub.net/KW/9447297/1?lm=20180312T123117,100,100,http://www.tourfactory.com/idxr1887056,26704,2672073,-1.88088,2040,5183.46,0.291306,0.291306,-1.88088,757,views,32,United States,,Jonestown,703500,67.72,30.4954748,,"$703,500 ",TRUE,67.72,Jonestown,12142,TX,-97.9233468,25,9,1,Single Family Residential,Residential,Single Family Detached,4,,,Active,Jonestown,MLS Listing,30.44920921,Stunning home located high on the crest of a hill in The Hollows. Panoramic lake views in every direction. 20&apos; ceilings and walls of windows span the length of the home from both levels. Open areas make this home perfect for entertaining and lake living. Private master suite on the main level. Dreamy kitchen with eat in island opens to family room and outdoor living beyond. Dreamy kitchen. Many upgrades throughout. Amazing pool/hot tub with beach entry and tanning area.Many upgrades throughout.,,,"Single Family Detached, Other - Jonestown, TX",,,,,7302 Flagship Park DR,,,Keller Williams - Lake Travis,5122639090,,https://listings.listhub.net/pages/KW/9447297/?channel=mashv,4,TRUE,Jonestown,,1275000,234.936429,,0,,,FALSE,2018-03-11T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,69,,"Hills,Lake,River",,Other,TRUE,,0,0,0,Elementary,Lago Vista,,High,Lago Vista,,JuniorHigh,Lago Vista,,Middle,,,2020-04-05T12:21:44.000Z,2018-03-13T02:18:29.000Z,2020-04-06T05:39:55.000Z,2020-04-06T05:39:55.000Z,,,68013,8145
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Lake Travis,2020,3:00 PM,3000,,1037534,TX,Travis,-97.98370361,78738,http://photos.listhub.net/KW/10859785/1?lm=20200405T183921,http://photos.listhub.net/KW/10859785/1?lm=20200405T183921,100,100,https://www.propertypanorama.com/instaview/aus/9865764,2477,9865764,1.25177,2810,2962.89,1.13493,1.13493,1.25177,62,views,5,United States,,The Hills,661000,85.32,30.3479797,,"$661,000 ",TRUE,85.32,The Hills,27710,TX,-97.9850117,4,8,0,Single Family Residential,Residential,Single Family Detached,4,,,Active,The Hills,MLS Listing,30.34810066,"Contemporary new custom home in The Hills with luxury finishes & attention to detail. This unique property incorporates abundant perfectly placed windows that offer privacy and natural light. Gourmet kitchen w/Kitchenaid appliances, custom cabinetry & large center island. Open, bright concept which flows to the outdoor patio with views of the 6th fairway. In addition to the master suite, the first floor contains a quiet, guest room/office with private entrance off of the garage. Minimal lawn maintenance.",3/14/2020,,"Single Family Detached, Other - The Hills, TX",,,3,,1 Hedgebrook CV,1:00 PM,,Keller Williams - Lake Travis,5122639090,,https://listings.listhub.net/pages/KW/10859785/?channel=mashv,3,TRUE,The Hills,,889000,296.3333333,,0,,,FALSE,2020-02-04T00:00:00.000Z,Central Furnace (Electric),Central A/C,"Keller Williams Realty, Inc.",,1,68.01,,Golf Course,,Other,,,0,0,0,Elementary,Lakeway,,High,Lake Travis,,JuniorHigh,Hudson Bend,,Middle,,,2020-04-05T12:21:44.000Z,2018-03-28T03:19:13.000Z,2020-04-06T05:44:30.000Z,2020-04-06T05:44:30.000Z,,,68890,8145
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Lake Travis,1974,4:00 PM,2140,,1335559,TX,Travis,-97.91911316,78734,http://photos.listhub.net/KW/10695493/1?lm=20191122T124200,http://photos.listhub.net/KW/10695493/1?lm=20191122T124200,100,100,.,6214,7325276,0.982658,1742.19,1728.28,0.409671,0.409671,0.982658,171,views,1,United States,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,Austin,599850,64.16,30.282316,,"$599,850 ",FALSE,64.16,Barton Creek,231200,TX,-97.866681,2,25,10,Single Family Residential,Residential,Single Family Detached,2,,,Pending,Austin,MLS Listing,30.41620064,"Enjoy everything Lake Travis has to offer without paying a waterfront price! This charming home with detached workshop and flex space features an open living floor plan. No carpet. Flex space can be used for studio, home office or guest bed. Home is located in the Travis Landing neighborhood in Hudson Bend and is just around the corner from the private waterfront 35-acre homeowner&apos;s park. The gated park features deep water boat ramps, boat storage, playgrounds, picnic areas and hike and bike trails.",3/8/2020,,"Single Family Detached, Other - Austin, TX",,,,Carport,5609 Arroyo RD,1:00 PM,10019,Keller Williams - Lake Travis,5122639090,,https://listings.listhub.net/pages/KW/10695493/?channel=mashv,2,TRUE,Barton Creek,,330000,154.2056075,,0,,Assumed Owner Occupancy,TRUE,2019-10-18T00:00:00.000Z,Fireplace (Electric),Central A/C,"Keller Williams Realty, Inc.",,1,75.5,,,,Other,,,0,0,0,Elementary,Lake Travis,,High,Lake Travis,,JuniorHigh,Hudson Bend,,Middle,,,2020-04-05T12:21:44.000Z,2018-08-08T03:39:08.000Z,2020-04-06T04:35:30.000Z,2020-04-06T04:35:30.000Z,KUMLER MICHAEL &,CONSTANCE,67846,8145
TX,4.42,0,3.82,0,3.96,0,,Keller Williams Realty International,2007,,1304,,1395835,TX,Travis,-97.92410278,78645,http://photos.listhub.net/KW/10923958/1?lm=20200307T123019,http://photos.listhub.net/KW/10923958/1?lm=20200307T123019,100,100,https://www.seetheproperty.com/story/338878/r,12625,7688823,-1.03459,1690,2718.24,-0.330618,-0.330618,-1.03459,31,,,United States,,Jonestown,703500,67.72,30.4954748,,"$703,500 ",TRUE,67.72,Jonestown,12142,TX,-97.9233468,25,9,1,Single Family Residential,Residential,Single Family Detached,3,,,Active,Jonestown,MLS Listing,30.46509933,"GATED One of a kind waterfront ESTATE property. Completely refurbished cabin on Manicured Waterfront estate. Meticulously maintained from road to water with paved drive to large boat dock on deep waterfront .Incredible big lake views. Spectacular rock work and waterfall at waters edge with patio built around huge oak tree. Nice ambience, spectacular getaway. Fantastic build site with panoramic Lakeview if larger home desired.",,,"Single Family Detached, Other - Jonestown, TX",,,,,17731 Reed Park RD,,113387,Keller Williams Realty International,(512) 448-4111,http://www.kwaustin.com/,https://listings.listhub.net/pages/KW/10923958/?channel=mashv,2,TRUE,Jonestown,,995000,763.0368098,,0,,,FALSE,2020-03-06T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,61.13,,"Lake,River,Water",,Other,,TRUE,0,0,0,Elementary,Lago Vista,,High,Lago Vista,,JuniorHigh,Lago Vista,,Middle,,,2020-04-05T12:19:52.000Z,2018-09-08T03:49:54.000Z,2020-04-06T05:40:20.000Z,2020-04-06T05:40:20.000Z,WOOD DONALD W & KATHRYN,ANN,257857,5288
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Cedar Park / Leander,2006,4:00 PM,2859,,1521621,TX,Travis,-97.84870148,78730,http://photos.listhub.net/KW/10898162/1?lm=20200226T122944,http://photos.listhub.net/KW/10898162/1?lm=20200226T122944,100,100,http://www.tourfactory.com/idxr2098216,13943,4791504,-1.26733,1671.47,8067.92,7.24882,7.24882,-1.26733,42,views,11,United States,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,Austin,516494,68.48,30.390081,,"$516,494 ",FALSE,68.48,Gateway,271396,TX,-97.739867,59,6,32,Single Family Residential,Residential,Single Family Detached,3,,,Pending,Austin,MLS Listing,30.38979912,"Single story at front of River Place w/stunning hill country views & backing to Balcones Preserve. 3/2.5 w/study. Large mudroom & laundry. No carpet--wood & tile. Master w/huge walk-in closet. Lots of storage. Plantation shutters, recessed lighting & high ceilings. Covered deck w/built-in grill. Custom landscape & lighting. Multiple viewing areas in back.",3/1/2020,,"Single Family Detached, Other - Austin, TX",,,,Open,6314 River Place BLVD,2:00 PM,,Keller Williams - Cedar Park / Leander,5126164000,,https://listings.listhub.net/pages/KW/10898162/?channel=mashv,3,TRUE,Gateway,,685000,239.5942637,,0,,,FALSE,2020-02-24T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,68.5,,Hills,,Other,,,0,0,0,Elementary,River Place,,High,Vandegrift,,JuniorHigh,Four Points,,Middle,,,2020-04-05T12:21:18.000Z,2018-11-18T01:13:40.000Z,2020-04-06T04:39:10.000Z,2020-04-06T04:39:10.000Z,,,37946,8152
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Cedar Park / Leander,2019,4:00 PM,2396,,1553917,TX,Travis,-97.99310303,78645,http://photos.listhub.net/KW/10813053/1?lm=20200109T124746,http://photos.listhub.net/KW/10813053/1?lm=20200109T124746,100,100,http://tour.keesnap.com/ub/159790,301,5559117,3.01902,2040,1738.01,1.69315,1.69315,3.01902,89,views,3,United States,,Point Venture,344500,65.56,30.3793672,,"$344,500 ",TRUE,65.56,Point Venture,42864,TX,-97.9961238,10,11,2,Single Family Residential,Residential,Single Family Detached,4,,,Pending,Point Venture,MLS Listing,30.38999939,"LAKEVIEW- 4 bedrooms PLUS a media/play room & extra storage room! Well thought out Teal Custom Home in Point Venture. Open living floor plan with island & spacious kitchen. Windows allow lots of natural light. Enjoy relaxing on your choice of two balconies! Oversized master bedroom has pocket doors & master bath leads to laundry room- a unique and fresh feature. PV amenities are the best around: swimming, tennis, gym, lakefront park, basketball, library, club room, golf course, frisbee golf and more!",1/18/2020,,"Single Family Detached, Other - Point Venture, TX",,,,,306 Buckhorn DR,1:00 PM,,Keller Williams - Cedar Park / Leander,5126164000,,https://listings.listhub.net/pages/KW/10813053/?channel=mashv,3,TRUE,Point Venture,,377500,157.5542571,,0,,,FALSE,2020-01-08T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,96.17,,"Golf Course,Hills,Lake,River",,Other,,,0,0,0,Elementary,Lago Vista,,High,Lago Vista,,JuniorHigh,Lago Vista,,Middle,,,2020-04-05T12:21:18.000Z,2018-12-15T03:24:17.000Z,2020-04-06T04:31:49.000Z,2020-04-06T04:31:49.000Z,,,68078,8152
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Round Rock,2019,,2086,,1692748,TX,Travis,-97.99410248,78645,http://photos.listhub.net/KW/10669288/1?lm=20191021T170802,http://photos.listhub.net/KW/10669288/1?lm=20191021T170802,100,100,.,212,4268992,1.83972,1690,1728.28,1.57833,1.57833,1.83972,184,,,United States,,Lago Vista,330000,65.85,30.4601975,,"$330,000 ",TRUE,65.85,Lago Vista,29777,TX,-97.9883477,15,101,3,Single Family Residential,Residential,Single Family Detached,3,,,Active,Lago Vista,MLS Listing,30.43910027,"AMAZING home and AMAZING scenic views! This beautiful custom home has all the space you need, 887 sqft of porch space, an over-sized 2 car garage at 631 sqft, 3 FULL baths, and walk-in closets in ALL the bedrooms! On a corner lot, this house has a large open concept perfect for entertaining! Features also include a metal roof, stained concrete, and a beautiful fireplace! Don&apos;t miss out on your perfect hill country home in Lago Vista! Builder to begin construction once under contract.",,,"Single Family Detached, Other - Lago Vista, TX",,,,,4500 Silverhill DR,,11108,Keller Williams - Round Rock,5122555050,,https://listings.listhub.net/pages/KW/10669288/?channel=mashv,3,TRUE,Lago Vista,,425000,203.7392138,,0,,,FALSE,2019-10-05T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,80.9,,Hills,,Other,,,0,0,0,Elementary,Lago Vista,,High,Lago Vista,,JuniorHigh,Lago Vista,,Middle,,,2020-04-05T12:21:26.000Z,2019-03-14T01:56:05.000Z,2020-04-06T04:37:31.000Z,2020-04-06T04:37:31.000Z,MCQUADE ROBERT,F,37914,8147
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Lake Travis,2015,,4929,,1722918,TX,Travis,-97.95600128,78734,http://photos.listhub.net/KW/10902393/1?lm=20200313T124259,http://photos.listhub.net/KW/10902393/1?lm=20200313T124259,100,100,http://listing.jpmrealestatephotography.com/ut/111_Piazza_Vetta.html,34128,8077674,-1.50257,3182.62,5120.95,-0.72649,-0.72649,-1.50257,40,,,United States,,Lakeway,649925,67.24,30.3679788,,"$649,925 ",TRUE,67.24,Lakeway,46137,TX,-97.991679,24,28,13,Single Family Residential,Residential,Single Family Detached,4,,,Active,Lakeway,MLS Listing,30.36050034,"Welcome to your hilltop paradise where the panoramic views will take your breath away.Perched high above Lakeway, this estate perfectly embodies what it means to live at the top.A dramatic gated courtyard welcomes you into the perfect entertainers dream.Inside you will find exceptional attention to detail & designer finishes throughout.This home lives like a 1 story with a focus on the incredible view.Lot next door available as well. https://mls.realtour.biz/111PiazzaVettaDrive/Austin/TX",,,"Single Family Detached, Other - Lakeway, TX",,,4,Garage - Attached,111 Piazza Vetta DR,,,Keller Williams - Lake Travis,5122639090,,https://listings.listhub.net/pages/KW/10902393/?channel=mashv,5,TRUE,Lakeway,,1925000,390.5457496,,0,,,FALSE,2020-02-26T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,73,120,"Hills,Lake,River",,Other,TRUE,,0,0,0,Elementary,Lake Travis,,High,Lake Travis,,JuniorHigh,Hudson Bend,,Middle,,,2020-04-05T12:21:44.000Z,2019-03-28T02:56:25.000Z,2020-04-06T05:44:07.000Z,2020-04-06T05:44:07.000Z,,,37841,8145
TX,4.42,0,3.82,0,3.96,0,,Keller Williams - Lake Travis,2019,3:00 PM,2601,,1789774,TX,Travis,-97.84220123,78726,http://photos.listhub.net/KW/10678849/1?lm=20191021T172813,http://photos.listhub.net/KW/10678849/1?lm=20191021T172813,100,100,https://my.matterport.com/show/?m=SZoCE7LGfFd&brand=0%27%20frameborder=%270%27%20allowfullscreen%20allow=%27vr,1614,9602227,1.87942,2263.2,3473.79,3.14112,3.14112,1.87942,179,views,2,United States,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,Austin,516494,68.48,30.390081,,"$516,494 ",FALSE,68.48,Gateway,271396,TX,-97.739867,59,6,32,Single Family Residential,Residential,Single Family Detached,4,,,Pending,Austin,MLS Listing,30.40690041,"Don&apos;t miss this beautiful custom-built home in the Woods- a gated, 25-home Modern European Farmhouse concept community in the heart of Four Points! This lovely two-story features a spacious open floor plan complete with exceptional finish out and energy-efficient features. Plenty of room to entertain in this thoughtfully designed home with an inviting family room and beautiful gourmet island kitchen with designer stainless steel appliances. Retreat to the fabulous master suite with double-vanity bath, seamless glass shower and huge walk-in closet. Home opens to a covered patio for outdoor enjoyment. Surrounded by nature preserve and conveniently located near 2222 and 620 with easy access to Lake Travis/Lake Austin, shops and restaurants. Zoned for the top-rated Leander ISD and Vandegrift HS. For more information and ""doll-house effect"" virtual walkthrough, visit www.woodsfourpoints.com. *Plan 2, To Be Built*",12/8/2019,,"Single Family Detached, Other - Austin, TX",,,2,Open,11100 Aliso LN,1:00 PM,7405,Keller Williams - Lake Travis,5122639090,,https://listings.listhub.net/pages/KW/10678849/?channel=mashv,4,TRUE,Gateway,,552000,212.2260669,,0,,Assumed Owner Occupancy,TRUE,2019-10-10T00:00:00.000Z,Central Furnace,Central A/C,"Keller Williams Realty, Inc.",,1,75.86,,,,Other,,,0,0,0,Elementary,River Place,,High,Vandegrift,,JuniorHigh,Four Points,,Middle,,,2020-04-05T12:21:44.000Z,2019-04-27T00:41:31.000Z,2020-04-06T04:35:23.000Z,2020-04-06T04:35:23.000Z,MATTHEW,PETRAUKAS,37833,8145
TX,4.42,0,3.82,0,3.96,0,,Keller Williams Realty International,1981,,3316,5/16/2016 0:00,1872217,TX,Travis,-97.94629669,78734,http://photos.listhub.net/KW/10371295/1?lm=20190916T183238,http://photos.listhub.net/KW/10371295/1?lm=20190916T183238,100,100,http://www.5514wbeachcircle.com,11386,1274347,-0.338856,2824.28,5836.76,1.15202,1.15202,-0.338856,314,,,United States,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,Austin,599850,64.16,30.282316,,"$599,850 ",FALSE,64.16,Barton Creek,231200,TX,-97.866681,2,25,10,Single Family Residential,Residential,Single Family Detached,4,0,,Active,Austin,MLS Listing,30.42989922,"An amazing opportunity to own a great, waterfront STR or LTR on the south shore of Lake Travis! Be the owner of your very own mini-resort on a beautifully-situated 2+ acres with over 330ft of waterfront shoreline. 3 separate units totaling 4 bedrooms, 4 full bathrooms, and 3 kitchens complement these beautiful grounds. This property has NO ZONING! Property comes with its own dock, and the smooth ramp makes for easy boat launching. 24-hour notice for showing, please.",,,"Single Family Detached, Other - Austin, TX",,,,,5514 W Beach CIR,,94050,Keller Williams Realty International,(512) 448-4111,http://www.kwaustin.com/,https://listings.listhub.net/pages/KW/10371295/?channel=mashv,4,TRUE,Barton Creek,,1699999,512.6655609,325000,0,,,FALSE,2019-05-28T00:00:00.000Z,Fireplace (Electric),Central A/C,"Keller Williams Realty, Inc.",0,1,65,,"Lake,River,Water",,Other,,TRUE,0,0,0,Elementary,Lake Travis,,High,Lake Travis,,JuniorHigh,Hudson Bend,,Middle,,,2020-03-30T12:35:53.000Z,2019-05-30T03:23:50.000Z,2020-04-06T04:40:18.000Z,2020-04-06T04:40:18.000Z,BUSATTA,PAOLO,248585,5288
